iter	Logloss
0	0.6432341872
1	0.5840154563
2	0.5397431053
3	0.4960678944
4	0.4570499868
5	0.4218108404
6	0.3955304885
7	0.3674688526
8	0.3465897767
9	0.3269120623
10	0.309449889
11	0.2949040041
12	0.2794936554
13	0.2690775546
14	0.2597476647
15	0.2492683225
16	0.242145214
17	0.228830339
18	0.2222502248
19	0.2168002715
20	0.2084055166
21	0.2000404464
22	0.1941760506
23	0.1856055845
24	0.1798041571
25	0.1755301765
26	0.171587403
27	0.166697425
28	0.1586043802
29	0.1526582023
30	0.1476626307
31	0.1422811712
32	0.1400746577
33	0.1375366244
34	0.1336072172
35	0.1292997221
36	0.1257553707
